timestamp,query_type,zone_id,cache_key,hit,latency_ms,source
1776367592.5534961,Q4,Z2,compare:density:Z2:Z3:conf=0.708,False,6.483,engine
1776367592.560189,Q3,Z4,density:Z4:conf=0.692,False,6.235,engine
1776367592.565015,Q4,Z2,compare:density:Z2:Z5:conf=0.853,False,4.3815,engine
1776367592.5699868,Q4,Z1,compare:density:Z1:Z4:conf=0.741,False,4.5699,engine
1776367592.57529,Q1,Z1,count:Z1:conf=0.773,False,4.9116,engine
1776367592.5800881,Q4,Z4,compare:density:Z4:Z5:conf=0.837,False,4.378,engine
1776367592.5846035,Q4,Z2,compare:density:Z2:Z3:conf=0.386,False,4.083,engine
1776367592.589475,Q4,Z2,compare:density:Z2:Z4:conf=0.032,False,4.1984,engine
1776367592.5950348,Q2,Z2,area:Z2:conf=0.081,False,4.9766,engine
1776367592.6004705,Q3,Z4,density:Z4:conf=0.789,False,5.0196,engine
1776367592.6058347,Q1,Z4,count:Z4:conf=0.145,False,4.9702,engine
1776367592.61035,Q4,Z3,compare:density:Z3:Z5:conf=0.596,False,3.8294,engine
1776367592.6142883,Q4,Z1,compare:density:Z1:Z3:conf=0.403,False,3.5896,engine
1776367592.6176693,Q4,Z2,compare:density:Z2:Z4:conf=0.934,False,3.0207,engine
1776367592.623236,Q1,Z4,count:Z4:conf=0.741,False,5.1396,engine
1776367592.6286027,Q3,Z2,density:Z2:conf=0.886,False,4.9251,engine
1776367592.633791,Q3,Z5,density:Z5:conf=0.676,False,4.8131,engine
1776367592.6390548,Q2,Z1,area:Z1:conf=0.515,False,4.8613,engine
1776367592.643281,Q4,Z2,compare:density:Z2:Z5:conf=0.097,False,3.7819,engine
1776367592.6473923,Q4,Z1,compare:density:Z1:Z3:conf=0.097,False,3.7174,engine
1776367592.651916,Q4,Z2,compare:density:Z2:Z3:conf=0.306,False,3.8497,engine
1776367592.6570075,Q3,Z4,density:Z4:conf=0.0,False,4.5475,engine
1776367592.6618762,Q4,Z4,compare:density:Z4:Z5:conf=0.725,False,4.4425,engine
1776367592.6669524,Q4,Z3,compare:density:Z3:Z4:conf=0.741,False,4.7029,engine
1776367592.6722481,Q4,Z2,compare:density:Z2:Z3:conf=0.805,False,4.8324,engine
1776367592.677471,Q1,Z2,count:Z2:conf=0.628,False,4.791,engine
1776367592.6804276,Q1,Z4,count:Z4:conf=0.934,False,2.5424,engine
1776367592.685574,Q2,Z1,area:Z1:conf=0.354,False,4.8143,engine
1776367592.6907778,Q3,Z2,density:Z2:conf=0.29,False,4.8046,engine
1776367592.694865,Q4,Z1,compare:density:Z1:Z4:conf=0.403,False,3.6687,engine
1776367592.6976788,Q4,Z1,compare:density:Z1:Z5:conf=0.95,False,2.4656,engine
1776367592.7017748,Q4,Z4,compare:density:Z4:Z5:conf=0.644,False,3.7252,engine
1776367592.707416,Q1,Z3,count:Z3:conf=0.741,False,5.2868,engine
1776367592.7124162,Q3,Z4,density:Z4:conf=0.129,False,4.5849,engine
1776367592.7144527,Q2,Z4,area:Z4:conf=0.95,False,1.631,engine
1776367592.719718,Q2,Z2,area:Z2:conf=0.58,False,4.8813,engine
1776367592.7248363,Q1,Z2,count:Z2:conf=0.097,False,4.4891,engine
1776367592.7298348,Q2,Z5,area:Z5:conf=0.032,False,4.6005,engine
1776367592.7310963,Q3,Z2,density:Z2:conf=0.886,True,0.8741,cache
1776367592.7353828,Q4,Z1,compare:density:Z1:Z4:conf=0.064,False,3.8988,engine
1776367592.7408414,Q3,Z4,density:Z4:conf=0.676,False,5.0505,engine
1776367592.7449467,Q4,Z2,compare:density:Z2:Z5:conf=0.209,False,3.7334,engine
1776367592.7494195,Q4,Z1,compare:density:Z1:Z4:conf=0.821,False,4.0334,engine
1776367592.7544985,Q1,Z3,count:Z3:conf=0.628,False,4.6258,engine
1776367592.7555234,Q4,Z2,compare:density:Z2:Z5:conf=0.209,True,0.6279,cache
1776367592.7598195,Q4,Z2,compare:density:Z2:Z4:conf=0.499,False,3.894,engine
1776367592.7650275,Q2,Z4,area:Z4:conf=0.274,False,4.787,engine
1776367592.7699242,Q1,Z3,count:Z3:conf=0.435,False,4.5246,engine
1776367592.7743857,Q4,Z1,compare:density:Z1:Z4:conf=0.386,False,3.9133,engine
1776367592.7792997,Q1,Z2,count:Z2:conf=0.177,False,4.5428,engine
1776367592.7851071,Q3,Z2,density:Z2:conf=0.66,False,5.3216,engine
1776367592.7902422,Q3,Z1,density:Z1:conf=0.048,False,4.6859,engine
